label,text,new_label_star,sentiment
0,"The boss trying to sell me something they want to sell, which sucks. And the food is very low quality in all the Korean restaurant. I have had. Donot come here in Uiuc!!!",1,n
0,"Walked in to the sight of the hostess and all the wait staff texting on their phones. Bartender said we could seat ourselves. Waited for about 15 minutes- didn't even get waters. There was more staff on hand than patrons, so there was no reason for any kind of wait. Poor service, total lack of professionalism... Went to the Mexican grill next door and had drinks in less than 3 minutes. I suggest going there instead!",1,n
0,"Worst customer service I've experienced in a long time. I was attending a meeting at ASU, when a Representative from Crave came in to clear out the pastries and catering items the conference contracted them to serve. When the Program Leader at the meeting asked the fellow a question concerning water; he replied with disdain stating \""that's not my job\"". When she further questioned him, he proceeded to answer her questions in a very antagonistic way.\n\nI had just bought a sandwhich from this place during our lunch break, but after witnessing this interaction, I have no desire to support a business that lacks a certain amount of professionalism. The sandwich was not impressive, so clearly I will not be missing anything over the next few days.",1,n
0,"I'm at Ulta often enough to receive membership rewards/gain steady points each quarter. \nI got an email for a free item on my birthday and decided to stop in yesterday. I was with my husband and being that it was my birthday, we were in good spirits and walking around the store laughing and having a good time browsing (not to the point where we were disturbing anyone). \nWell, apparently happiness in Ulta is the sign of a potential thief. \nWe were relentlessly followed around the store from about 10 minutes of us being there until the moment I went on line. It was obvious, unnecessary, and extremely rude. \nAt one point we were in an aisle looking at facial cleaners (which come in LARGE BOXES, hello!) and an employee walks past us saying nothing, then parks herself at the end of the aisle, as if she were guarding us. \nI move to another aisle to look at hair products, a different employee circled us, another pretended to be reading a sign... (really guys?) It was so over the top and the opinion of us was so apparent that I started to feel very uncomfortable and could no longer shop around. As we were walking from the back of the store toward the front, what looked like a supervisor/manager sees us coming, and (I kidd you not) turns her back to us and starts a fake conversation with another employee, as if she's a customer looking for hair color. \n\nIt was so odd, I've NEVER been treated like that in a store before. I really don't know what the hell they based their assumptions on, aside from appearance (I have a more \""alternative\"" look)? \nI can't say I'd ever return. \n\nWorth mentioning- their Ulta brand items have not been FULLY re-stocked for going on a year now! I have no idea what's going on with that, but I noticed it in DECEMBER that the entire section doesn't seem to be replenished at all...and it's always a mess. Yesterday it was the worst I have ever seen it- there were used napkins from someone wiping makeup off their face and they were scattered all over the counter! Disgusting.\n\nHow about instead of harassing customers, pick up a goddamn garbage bag and clean up?",1,n
0,"Upon getting the rental car we asked Nick (the day's manager it seemed like) to note that there was a fair size dent in the middle of the hood.  His reply was that it was less than 2\"" and not to worry about it.  We still requested it be noted but apparently he did not.  At least he was decent enough to mention his name so I knew who to refer to upon returning the car.\nHowever, upon returning the car I was questioned about the dent on the hood and Nick was nowhere to be found that day.  Now don't get me wrong I didn't get charged extra for this but the idea that I was treated like a criminal when I had done nothing doesn't appeal to me.  Especially since I kind of expected this would happen and tried to prevent it from happening by requesting it be noted in the first place.\nIt just seems like the left hand doesn't know what the right hand is doing at this joint.  If TRULY I wasn't going to be questioned about the dent then Nick was right about not noting it down (even though we requested it) on the paperwork.  If, however, I will be questioned about it, it needs to be addressed up front.\nThe manager of the day when I returned the car was catty and had extremely poor PR skills.  She was snippy and sourly and suddenly walked away from the whole interaction when asked for her name.  One of her 'underlings' finished the transaction she quickly inflamed with her pour attitude and lack of customer service.  I felt sorry for the poor guy for having to work for someone like that.\nOn another note, I truly despise the fact that Enterprise has decided to rent cars with gas tanks nearly empty.  At least other places like Budget always ensure you have a full tank, a great service.  There is nothing I loathe more than picking a car with little fuel then having to judge how many gallons it will take to fill it back up to nearly empty, always a juggling act.",1,n
0,"RATS!!! See the manager's 'appology' , Hell,he didn't even visit our table on our less than acceptable experience and he never followed up on his promise via e-mail to take care of us with a discount next time we come in. We still haven't received anything even though I gave him our address. Apparently they could care less although they feel a need to do the requisite \""lip service\"" giving the illusion they are concerned. I've been coming here since they opened the Ahwatukee location and it was a favorite haunt for drinks after hitting 18 at Ahwatukee CC. No more for me, my family and anyone else I remember to tell about our experience",1,n
0,"NEVER TAKE YOUR CAR HERE!!!\n\nThis place is a complete rip-off and has the WORST customer service I have EVER come across.\n\nWe went there and asked what package we needed in order to have the interior of our new car cleaned out. (not shampooed, just the seated sprayed off and wiped) We were told to get the $39.00 VIP package, and it would take care of cleaning off the front and back seats. Not only did the wash on the outside look horrible, they barely wiped down the front seats, doors, and dash, they also didnt wipe anything in the back. I had to argue with the manager for almost 10 minutes about wiping down the back, that took him a whole 2 minutes to do, and it was still so half-assed that I had to do it myself once I took the car home. We paid $39 for what would have been the same wash as the $7 was.\n\nI had then taken my car in for detail since I had received a detail job certificate from a friend a couple weeks prior to this fiasco, and being there are no refunds on detail jobs, I had to take it in or lose the money. So, this past weekend, it went in. They took 5 hours to detail the car. I was expecting it to take between 3-4 like they had originally told me, but, that was just the start of the frustration. I paid to have the car detailed with a clay bar to remove swirl marks and find scratches. There are now more swirl marks on my car than when it went in, not all of the wax was removed, so I had to use my microfiber cloths to remove it myself, I specifically said that I DIDNT want any armorall or leather conditioner on my interior, and to just clay bar the outside, they didnt listen to that, so I spent 30 minutes wiping greasy armorall off my interior and leather. I told the manager that I was completely dissatisfied with the job that was done, he refused to give me any money back and said I would have to bring it back for them to do the job again. I will NOT take my car back to have more damage done for another 5 hour job. I could have purchased the stuff to do the job myself in about 2 hours of time and had it done right.\n\nPlease head this warning and DO NOT TAKE YOUR CAR HERE! terrible wash, and even worse customer service.",1,n
0,"I agree with everyone else that has said their customer service is basically nonexistent. It's a miracle if you can a clerk anywhere in the store besides at the cutting table or the lone clerk at the register and when you do ask a question they look at you like you are speaking and a foreign-language. I've been told, \""No we don't have that,\"" and then have come upon exactly what I asked about........  WHO's MONITORING THESE STORES??????",1,n
0,"It's extremely doubtful we'll ever go back!  Nope - Not - Decided!  What was wrong?  A bit of everything!  First off, my seat had a \""butt crater!\""  Normally I would have asked for a different booth, butt (ha,ha) we had waited the better part of 40 minutes, we were hungry, and there were no available tables in sight.  So then I had to make a decision, sit \""in\"" the crater or balance myself on the \""high part.\""  As if that wasn't bad enough (it was,) the downward spiral continued: the smallest salad you've ever seen served in a \""papa bear's\"" size bowl, the up-charge for a cup of soup when substituting for the salad (nearly full price,) and then it's watery and tasteless, an appetizer that looked much better in pictures, and entrees without taste and texture!  For the two of us, it was an $80 disappointment.",1,n
0,"Wow, what a horrible experience. So bad that I had to cancel my reservation for my stay on the way back.\n\nI stayed here with my two children for one night in March. We got in kind of late and checked in around 9:30 pm. Check-in was fine. We let the clerk know we needed a ride to the airport in the morning and it turns out that you can leave your car there if you're planning to stay on your return trip and the stay is 14 days or less (I asked after a friend informed me you can do this--beats paying for airport parking!). We were flying to Hawaii and would be gone for 10 days, so this was a good deal.\n\nOur room was on the ground floor and was not nicer than a Motel 6 as far as I remember Motel 6s being from when I was a kid. It was hot and humid in the hotel so I turned on the AC. That clanky piece of crap managed to wake me up every single time it went on during the night. A HORRIBLE night of sleep.\n\nTo make matters worse, there were a bunch of college-aged drunk kids staying in the hotel who showed up around 10:30 pm. They hung out right outside of my door and were up and down the stairs laughing and being obnoxious until 1 am. I typically am not shy about sticking my head out the door and telling people to be quiet, but since I was alone with my kids, I didn't think it was the best idea. I called the front desk around 11 pm and they said their driver (who doubles as security) would drive back there when he returned from the airport, in about 20 minutes. It was not 20 minutes, that's for sure. Considering we had to be up at 5 am, waiting ANY amount of time was infuriating. They should have had someone on the premises who can act in the capacity of a security guard or something. I heard the van drive by around 1 am and that's when the inconsiderate a-holes finally went up to their rooms.\n\nIn the morning (at 5 am) I couldn't help myself and as we were heading to the front desk to catch the shuttle, I knocked loudly on one of the doors of the worst offenders and called them jerks. Passive aggressive, I know, but whatever. In the lobby, while waiting for the shuttle, I heard other guests complaining about the loud jerks, too.\n\nThe shuttle ride was fine; the driver was a nice guy. There was no way in hell, though, I'd be staying there on our way back. I was worried about my car the entire time we were gone and I didn't cancel my reservation until the day we were supposed to leave HI and stay there again. We got into PHX around 10:30 at night and we waited for the shuttle with about 5 other guests who were staying there. Shuttle after shuttle came for other hotels and ours didn't show up until 11:20 pm. I didn't want to draw too much attention to us since we weren't planning to stay so I didn't complain much. When we got to the hotel, I tipped the guy well and we booked it to the back of the hotel to my car. Thankfully, my car was fine and we made the 10-15 minute drive to a much nicer place--the Hilton Garden Inn. That place cost about $80 more and the AC was still not very quiet, but the hotel was quiet and I turned off the AC and surprisingly wasn't hot. Anyway, that's another review.\n\nI will NEVER stay here again. Ever.",1,n
